Date,Price,Open,High,Low,Volume,Chg%
20-Apr-20,76.575,76.55,76.68,76.301,0.83K,0.03%
17-Apr-20,76.55,76.821,76.821,76.242,2.48K,-0.33%
16-Apr-20,76.805,76.625,76.914,76.55,2.43K,0.32%
15-Apr-20,76.563,76.036,76.654,75.934,2.78K,0.72%
14-Apr-20,76.015,76.318,76.378,76.015,0.32K,-0.31%
13-Apr-20,76.249,75.879,76.457,75.879,1.96K,0.49%
10-Apr-20,75.879,75.895,75.935,75.845,0.08K,-0.55%
9-Apr-20,76.3,76.1,76.555,76.016,2.32K,0.47%
8-Apr-20,75.945,75.625,76.41,75.625,1.77K,0.40%
7-Apr-20,75.645,75.965,75.993,75.521,1.99K,-0.43%
6-Apr-20,75.975,76.24,76.256,75.89,0.10K,-0.35%
3-Apr-20,76.241,75.965,76.314,75.783,2.65K,-0.21%
2-Apr-20,76.4,76.386,76.43,76.345,0.08K,-0.01%
1-Apr-20,76.404,75.32,76.422,75.32,0.05K,1.41%
31-Mar-20,75.343,75.535,75.68,75.28,2.06K,-0.09%
30-Mar-20,75.41,75.145,75.675,75.096,1.86K,-0.08%
27-Mar-20,75.472,74.625,75.533,74.365,0.36K,0.78%
26-Mar-20,74.89,75.885,75.965,74.89,2.33K,-1.95%
25-Mar-20,76.375,76.375,76.375,76.375,0,0.00%
24-Mar-20,76.379,76.09,76.385,75.946,2.04K,0.06%
23-Mar-20,76.335,75.37,76.335,75.37,2.39K,1.24%
20-Mar-20,75.398,74.825,75.398,74.71,4.98K,0.82%
19-Mar-20,74.786,74.875,75.312,74.668,4.71K,0.32%
18-Mar-20,74.55,73.974,74.55,73.924,5.63K,0.66%
17-Mar-20,74.062,74.073,74.315,73.858,5.21K,0.08%
16-Mar-20,74.003,74.006,74.359,73.999,4.32K,0.22%
13-Mar-20,73.84,74.561,74.561,73.732,5.26K,-0.99%
12-Mar-20,74.576,74.134,74.579,74.074,5.86K,1.21%
11-Mar-20,73.682,73.792,74.015,73.532,6.53K,-0.63%
10-Mar-20,74.15,74.248,74.248,74.15,0.01K,-0.06%
9-Mar-20,74.195,73.975,74.254,73.85,6.07K,0.26%
6-Mar-20,74.004,73.873,74.073,73.529,1.47K,0.68%
5-Mar-20,73.507,73.517,73.564,73.044,1.92K,-0.04%
4-Mar-20,73.54,73.06,73.64,72.91,7.57K,0.67%
3-Mar-20,73.05,72.48,73.397,72.44,6.74K,0.23%
2-Mar-20,72.882,72.52,72.954,72.028,6.08K,0.47%
28-Feb-20,72.539,71.755,72.574,71.755,6.59K,1.23%
27-Feb-20,71.655,71.645,71.704,71.545,5.35K,0.10%
26-Feb-20,71.58,71.833,71.873,71.532,5.63K,-0.33%
25-Feb-20,71.82,71.87,71.92,71.611,4.83K,-0.16%
24-Feb-20,71.935,71.915,72.015,71.775,4.46K,0.08%
21-Feb-20,71.88,71.665,72.056,71.665,0.16K,0.28%
20-Feb-20,71.68,71.735,71.82,71.53,4.76K,0.11%
19-Feb-20,71.6,71.573,71.6,71.452,0.29K,0.02%
18-Feb-20,71.585,71.415,71.611,71.375,4.96K,0.34%
17-Feb-20,71.34,71.43,71.507,71.26,5.36K,-0.26%
14-Feb-20,71.528,71.294,71.597,71.272,6.80K,0.28%
13-Feb-20,71.33,71.36,71.511,71.254,4.53K,0.03%
12-Feb-20,71.306,71.212,71.391,71.212,5.72K,0.03%
11-Feb-20,71.285,71.235,71.33,71.179,6.17K,-0.01%
10-Feb-20,71.29,71.4,71.457,71.285,8.31K,-0.31%
7-Feb-20,71.515,71.26,71.538,71.213,6.21K,0.41%
6-Feb-20,71.225,71.181,71.3,71.106,6.37K,0.05%
5-Feb-20,71.19,71.11,71.3,71.11,4.24K,0.11%
4-Feb-20,71.115,71.215,71.297,71.09,6.65K,-0.29%
3-Feb-20,71.324,71.523,71.653,71.268,7.48K,-0.32%
31-Jan-20,71.555,71.575,71.578,71.294,8.25K,0.01%
30-Jan-20,71.55,71.42,71.66,71.39,3.41K,0.34%
29-Jan-20,71.31,71.24,71.411,71.165,7.10K,0.15%
28-Jan-20,71.2,71.432,71.432,71.2,6.62K,-0.35%
27-Jan-20,71.45,71.475,71.52,71.373,5.00K,0.17%
24-Jan-20,71.33,71.34,71.371,71.22,3.39K,-0.10%
23-Jan-20,71.4,71.19,71.465,71.169,6.19K,0.45%
22-Jan-20,71.08,71.18,71.265,71.076,5.63K,-0.13%
21-Jan-20,71.17,71.19,71.25,71.121,3.97K,0.18%
20-Jan-20,71.04,71.07,71.16,71.01,5.07K,-0.05%
